"Nazwa kampanii",Dzień,"Kliknięcia linku",Zasięg,Wyświetlenia,"Typ wyniku",Wyniki,Koszt/wynik,"Wydana kwota (PLN)","Początek okresu raportowania","Koniec okresu raportowania"
"[FB] Części",2025-05-14,4,558,609,,,,4.99,2025-05-14,2025-05-14
"[FB] Ciągniki 7R - ruch www",2025-05-14,1,342,432,,,,4.8,2025-05-14,2025-05-14
"[FB] Ciągniki 8RX - formularz",2025-05-14,1,69,117,,,,11.18,2025-05-14,2025-05-14
"[FB] Skontakuj się z nami - messenger",2025-05-14,2,191,214,,,,1.17,2025-05-14,2025-05-14
"[FB] Ciągniki - Używane jak nowe - YU",2025-05-14,1,660,737,,,,13.64,2025-05-14,2025-05-14
"[FB] Serwis - kontakty",2025-05-14,,176,195,,,,3.52,2025-05-14,2025-05-14
"[FB] Ciągniki Ogólne - ruch www",2025-05-14,2,325,357,"Wyświetlenia strony docelowej",2,1.345,2.69,2025-05-14,2025-05-14
"[FB] ASM - OSWN",2025-05-14,4,294,329,"Wyświetlenia strony docelowej",2,1.375,2.75,2025-05-14,2025-05-14
"[FB] ASM Pagelike",2025-05-14,1,484,562,,,,3.62,2025-05-14,2025-05-14
"[FB] Kverneland",2025-05-14,1,348,383,,,,9.3,2025-05-14,2025-05-14
"[FB] Serwis - ruch www",2025-05-14,2,212,235,"Wyświetlenia strony docelowej",2,0.72,1.44,2025-05-14,2025-05-14
"[FB] Ciągniki Seria 6M - formularz",2025-05-14,1,448,568,,,,14.19,2025-05-14,2025-05-14
"[FB] Joskin - wyprzedaż",2025-05-14,,164,190,,,,9.38,2025-05-14,2025-05-14
"[FB] ASM Vaderstad finansowanie",2025-05-14,1,218,272,"Kontakty w Meta",1,16.04,16.04,2025-05-14,2025-05-14
"[FB] ASM - Ciągniki 7R - formularz",2025-05-14,3,199,242,,,,7.61,2025-05-14,2025-05-14
"[FB]  ASM - Ciągniki – 6195M",2025-05-14,1,345,434,,,,8.47,2025-05-14,2025-05-14
"[FB]  ASM - Kramer",2025-05-14,11,2359,2769,,,,25.39,2025-05-14,2025-05-14
"[FB] ASM Kampania Serwis Oddziały",2025-05-14,5,2833,2950,Zasięg,2833,2.75679492,7.81,2025-05-14,2025-05-14
"[FB] Remarketing",2025-05-14,3,509,653,,,,6.26,2025-05-14,2025-05-14
"[FB] ASM - Ciągniki – 6R 250 - formularz",2025-05-14,,739,944,,,,21.72,2025-05-14,2025-05-14
"[FB] Rolnictwo precyzyjne",2025-05-14,3,508,609,,,,12.65,2025-05-14,2025-05-14
"[FB] ASM - Ciągniki 6155M",2025-05-14,1,806,850,,,,10.71,2025-05-14,2025-05-14
